cement,flyash,ggbs,mk,water,water_tcm,sp,vma,nca_20_down,nca_10_down,rca_20_down,rca_10_down,sand,age,cs
189.0,0.0,189.0,0.0,170.0,0.45,0.756,0.0,0.0,0.0,477.0,536.0,647.0,3.0,14.32
155.0,0.0,155.0,0.0,170.0,0.55,0.465,0.0,0.0,0.0,494.0,554.0,669.0,3.0,13.5
131.0,0.0,131.0,0.0,170.0,0.65,0.262,0.0,0.0,0.0,505.0,567.0,684.0,3.0,12.0
113.0,0.0,113.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,513.0,576.0,695.0,3.0,9.0
340.0,0.0,340.0,0.0,170.0,0.25,2.38,0.0,0.0,0.0,407.0,457.0,551.0,7.0,37.0
189.0,0.0,189.0,0.0,170.0,0.45,0.756,0.0,0.0,0.0,477.0,536.0,647.0,7.0,19.74
155.0,0.0,155.0,0.0,170.0,0.55,0.46,0.0,0.0,0.0,494.0,554.0,669.0,7.0,15.0
131.0,0.0,131.0,0.0,170.0,0.65,0.26,0.0,0.0,0.0,505.0,567.0,684.0,7.0,11.0
113.0,0.0,113.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,513.0,576.0,695.0,7.0,10.0
340.0,0.0,340.0,0.0,170.0,0.25,2.38,0.0,0.0,0.0,407.0,457.0,551.0,28.0,60.0
243.0,0.0,243.0,0.0,170.0,0.35,1.21,0.0,0.0,0.0,452.0,508.0,612.0,28.0,43.0
189.0,0.0,189.0,0.0,170.0,0.45,0.75,0.0,0.0,0.0,477.0,536.0,647.0,28.0,30.28
155.0,0.0,155.0,0.0,170.0,0.55,0.46,0.0,0.0,0.0,494.0,554.0,669.0,28.0,24.43
113.0,0.0,113.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,513.0,576.0,695.0,28.0,16.34
340.0,0.0,340.0,0.0,170.0,0.25,2.38,0.0,0.0,0.0,407.0,457.0,551.0,90.0,68.0
243.0,0.0,243.0,0.0,170.0,0.35,1.21,0.0,0.0,0.0,452.0,508.0,612.0,90.0,55.0
189.0,0.0,189.0,0.0,170.0,0.45,0.75,0.0,0.0,0.0,477.0,536.0,647.0,90.0,43.0
155.0,0.0,155.0,0.0,170.0,0.55,0.46,0.0,0.0,0.0,494.0,554.0,669.0,90.0,34.0
131.0,0.0,131.0,0.0,170.0,0.65,0.26,0.0,0.0,0.0,505.0,567.0,684.0,90.0,23.5
113.0,0.0,113.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,513.0,576.0,695.0,90.0,21.3
476.0,204.0,0.0,0.0,170.0,0.25,1.7,0.0,0.0,0.0,398.0,447.0,539.0,3.0,25.0
264.0,113.0,0.0,0.0,170.0,0.45,0.55,0.0,0.0,0.0,473.0,531.0,641.0,3.0,10.0
216.0,93.0,0.0,0.0,170.0,0.55,0.3,0.0,0.0,0.0,490.0,550.0,663.0,3.0,9.0
183.0,76.0,0.0,0.0,170.0,0.65,0.0,0.0,0.0,0.0,502.0,563.0,679.0,3.0,7.0
159.0,68.0,0.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,510.0,573.0,691.0,3.0,6.0
476.0,204.0,0.0,0.0,170.0,0.25,1.7,0.0,0.0,0.0,398.0,447.0,539.0,7.0,40.0
340.0,146.0,0.0,0.0,170.0,0.35,0.97,0.0,0.0,0.0,446.0,501.0,604.0,7.0,29.0
264.0,113.0,0.0,0.0,170.0,0.45,0.56,0.0,0.0,0.0,473.0,531.0,641.0,7.0,22.0
216.0,93.0,0.0,0.0,170.0,0.55,0.3,0.0,0.0,0.0,490.0,550.0,663.0,7.0,18.0
159.0,68.0,0.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,510.0,573.0,691.0,7.0,12.0
476.0,204.0,0.0,0.0,170.0,0.25,1.7,0.0,0.0,0.0,398.0,447.0,539.0,28.0,55.0
340.0,146.0,0.0,0.0,170.0,0.35,0.72,0.0,0.0,0.0,446.0,501.0,604.0,28.0,41.0
264.0,113.0,0.0,0.0,170.0,0.45,0.56,0.0,0.0,0.0,473.0,531.0,641.0,28.0,34.5
216.0,93.0,0.0,0.0,170.0,0.55,0.31,0.0,0.0,0.0,490.0,550.0,663.0,28.0,29.01
183.0,76.0,0.0,0.0,170.0,0.65,0.0,0.0,0.0,0.0,502.0,563.0,679.0,28.0,18.3
159.0,68.0,0.0,0.0,170.0,0.75,0.0,0.0,0.0,0.0,510.0,573.0,691.0,28.0,11.23
476.0,204.0,0.0,0.0,170.0,0.25,1.7,0.0,0.0,0.0,398.0,447.0,539.0,90.0,63.0
264.0,113.0,0.0,0.0,170.0,0.45,0.56,0.0,0.0,0.0,473.0,531.0,641.0,90.0,37.9
216.0,93.0,0.0,0.0,170.0,0.55,0.3,0.0,0.0,0.0,490.0,550.0,663.0,90.0,31.61
183.0,76.0,0.0,0.0,170.0,0.65,0.0,0.0,0.0,0.0,502.0,563.0,679.0,90.0,21.59
